CO,NO2,O3,PM10,PM2.5,SO2,label
1.39,31.0,0.6,60.0,36.0,9.7,1
1.52,30.0,0.7,59.0,37.0,7.8,1
1.67,31.0,1.0,66.0,38.0,10.0,1
2.31,35.0,1.3,76.0,41.0,9.8,1
3.15,50.0,2.3,79.0,48.0,8.0,1
2.43,63.0,7.3,79.0,45.0,6.3,1
0.95,35.0,10.0,61.0,31.0,3.6,1
0.96,38.0,23.0,55.0,25.0,4.3,1
0.74,31.0,33.0,59.0,31.0,4.5,1
0.63,30.0,35.0,55.0,32.0,5.7,1
0.57,28.0,39.0,61.0,29.0,4.2,1
0.56,24.0,39.0,67.0,33.0,3.0,1
0.84,29.0,52.0,98.0,57.0,4.1,1
1.18,36.0,42.0,131.0,88.0,4.4,2
1.18,34.0,30.0,134.0,94.0,2.8,2
1.03,30.0,27.0,123.0,79.0,2.8,2
0.88,26.0,28.0,103.0,67.0,1.8,2
0.88,24.0,26.0,75.0,47.0,1.3,1
0.82,21.0,28.0,46.0,29.0,1.3,0
0.67,15.0,36.0,37.0,25.0,1.6,0
0.6,12.0,39.0,38.0,24.0,2.5,0
0.58,12.0,39.0,40.0,25.0,4.7,0
0.56,9.5,40.0,44.0,31.0,2.9,0
0.49,7.1,36.0,37.0,24.0,2.2,0
0.35,7.6,35.0,21.0,11.0,1.9,0
0.32,8.1,34.0,13.0,8.0,1.7,0
0.34,15.0,27.0,13.0,6.0,1.8,0
0.52,20.0,22.0,15.0,9.0,1.8,0
0.65,27.0,15.0,15.0,10.0,1.9,0
0.56,27.0,15.0,21.0,8.0,2.2,0
0.44,21.0,19.0,21.0,6.0,1.9,0
0.51,24.0,19.0,21.0,6.0,1.9,0
0.58,23.0,20.0,27.0,8.0,2.0,0
0.66,23.0,17.0,27.0,10.0,2.1,0
0.83,30.0,13.0,53.0,25.0,2.1,1
0.92,32.0,13.0,54.0,20.0,2.2,1
0.86,29.0,18.0,42.0,19.0,1.1,0
0.87,25.0,23.0,38.0,23.0,1.4,0
0.67,17.0,33.0,42.0,23.0,1.6,0
0.74,20.0,32.0,43.0,19.0,1.7,0
0.74,19.0,30.0,44.0,21.0,1.7,0
0.6,15.0,33.0,46.0,22.0,1.8,0
0.49,11.0,35.0,50.0,23.0,2.2,0
0.38,8.0,39.0,51.0,30.0,4.2,1
0.38,8.0,36.0,55.0,34.0,3.8,1
0.37,7.3,34.0,59.0,33.0,3.6,1
0.37,8.0,32.0,65.0,34.0,3.4,1
0.4,9.0,30.0,72.0,37.0,3.1,1
0.45,15.0,26.0,77.0,38.0,4.3,1
0.69,22.0,20.0,86.0,44.0,4.8,1
0.71,23.0,20.0,104.0,46.0,5.1,2
0.61,21.0,23.0,109.0,43.0,5.2,2
0.65,24.0,22.0,98.0,45.0,5.3,1
0.55,20.0,28.0,88.0,46.0,4.4,1
0.54,17.0,27.0,79.0,41.0,2.9,1
0.47,17.0,26.0,75.0,38.0,2.1,1
0.48,18.0,27.0,76.0,36.0,2.5,1
0.49,19.0,27.0,79.0,40.0,2.6,1
0.61,27.0,18.0,83.0,42.0,4.3,1
0.7,26.0,17.0,82.0,40.0,2.6,1
0.89,29.0,12.0,79.0,40.0,2.4,1
0.73,25.0,16.0,79.0,37.0,2.1,1
0.61,22.0,19.0,68.0,33.0,1.8,1
0.68,25.0,17.0,59.0,31.0,1.9,1
0.61,23.0,18.0,55.0,27.0,1.7,1
0.48,19.0,21.0,48.0,24.0,1.6,0
